"Survey.Years","Sex","Age.Group","Measure","Percent","Standard.Error","Lower.95..CI.Limit","Upper.95..CI.Limit"
"2001-2002","Female","60-69","Obesity",58.7,3.77,55.5136689366074,65.3070179349044
"2007-2008","Male","12-19","High Total Cholesterol",47.5,2.08,44.812471338897,50.9794721872313
"2013-2014","Female","6-11","High Total Cholesterol",57.9,1.93,55.8277173122391,61.4221664721612
"2001-2002","Female","60-69","Obesity",86.9,0.87,80.4479783377377,91.2339459730778
"1999-2000","Female","70 and over","High Total Cholesterol",71.8,4.6,66.2602033622796,78.2480957337655
"2015-2016","Female","70 and over","High Total Cholesterol",85.6,7.27,81.7495529215317,90.4346774962265
"2015-2016","Female","50-59","Obesity",60.5,0.87,54.6900329941418,66.9690043862211
"2009-2010","Male","6-11","Hypertension",42.7,5.53,36.4628327943385,49.0187578018988
"2007-2008","Male","30-39","Obesity",85.2,0.51,83.1412242607214,88.8557989420835
"2015-2016","Female","70 and over","Hypertension",61.2,7.43,58.9678820062429,66.4706451625563
"2017-2018","Female","12-19","High Total Cholesterol",33.4,7.29,28.5259288486326,40.9003890566295
"2005-2006","Female","70 and over","Obesity",33.2,5.4,25.5625715092057,39.0377252606442
"2009-2010","Female","30-39","Obesity",4.4,5.93,1.72744186697528,9.21980966136325
"2013-2014","Male","60-69","Hypertension",42.3,3.63,37.1203224262688,44.9147019915516
"2009-2010","Male","6-11","Obesity",47.4,5.66,41.4196057492867,50.5700883568265
"2009-2010","Male","40-49","High Total Cholesterol",8.2,5.24,6.69463028868195,12.7794798990246
"2011-2012","Male","60-69","Obesity",67.6,0.59,65.7101085951086,72.5427489808295
"1999-2000","Male","40-49","High Total Cholesterol",16.3,4.25,10.6898831254337,21.4389930526493
"2009-2010","Female","40-49","Obesity",32.9,5.76,26.1583803961752,35.4455376587342
"2001-2002","Female","20-29","Obesity",36.1,0.64,28.1466880318709,38.3384202177636
"1999-2000","Male","2-5","Hypertension",83,5.39,78.3651174913393,89.3260848377831
"2001-2002","Female","60-69","High Total Cholesterol",58.4,6.46,50.7119122573407,61.3644202120835
"2005-2006","Female","70 and over","Hypertension",78.1,3.78,75.6242561860941,80.8047662278637
"2007-2008","Male","40-49","Obesity",38.9,2.32,31.1738765768008,42.4193854029058
"2009-2010","Female","40-49","High Total Cholesterol",64.3,6.07,59.7647812080802,71.66295613111
"2003-2004","Female","6-11","Obesity",20.2,3.48,17.6396781383548,25.017556362832
"2015-2016","Male","70 and over","High Total Cholesterol",48.9,6.58,44.8308890954126,50.5236954485066
"2005-2006","Female","60-69","High Total Cholesterol",81.3,4.9,74.5025893151294,82.8796668312978
"2009-2010","Male","12-19","High Total Cholesterol",28.3,3.66,24.474581120722,30.664306157222
"2015-2016","Female","12-19","High Total Cholesterol",29.6,4.14,21.7191552615492,37.0076821680646
"2015-2016","Male","70 and over","Obesity",40.4,7.32,38.4635170560563,44.2890832500765
"2011-2012","Male","40-49","High Total Cholesterol",80.1,5.28,74.2152754678624,85.6686311357422
"2003-2004","Female","50-59","High Total Cholesterol",62.2,6.37,58.8851791484514,65.271348334197
"2013-2014","Female","50-59","High Total Cholesterol",41.1,3.26,37.7439125483157,47.3223350264831
"2015-2016","Female","30-39","Hypertension",75.5,6.73,71.1972197801806,82.9215068229241
"2003-2004","Male","70 and over","Obesity",24.1,0.68,17.5155845139176,30.0483831293182
"2011-2012","Male","30-39","High Total Cholesterol",36.4,3.13,34.4514759164071,40.9934031942161
"2003-2004","Male","20-29","Obesity",13.5,5.29,6.48146403301507,18.8032658251468
"2011-2012","Male","50-59","High Total Cholesterol",23.3,3.63,17.7777239135001,28.9511076531606
"2009-2010","Female","12-19","Hypertension",62.8,2,59.7777454000432,64.3365442256443
"2017-2018","Female","12-19","High Total Cholesterol",89.4,1.75,81.9515775617678,95.8421552560525
"2007-2008","Female","12-19","High Total Cholesterol",75.4,5.26,68.837913919799,80.2701879204018
"2007-2008","Female","50-59","Obesity",63.7,5.11,57.1110308198724,68.8448928123573
"2013-2014","Female","30-39","Obesity",48.7,3.45,45.6566208521137,53.3179546484491
"2003-2004","Male","40-49","High Total Cholesterol",18.9,4.73,16.0201758859679,25.806221867539
"2017-2018","Female","6-11","Obesity",88.4,3.3,81.0837864739355,90.1282276130281
"2001-2002","Male","20-29","High Total Cholesterol",74.7,4.25,71.5383824410848,80.5545363863232
"2017-2018","Male","40-49","Obesity",87.2,6.43,81.2166832362302,93.8011400059797
"2001-2002","Female","40-49","High Total Cholesterol",48.6,2.24,45.015333652636,55.0236086398596
"2017-2018","Male","30-39","High Total Cholesterol",67.7,5.27,61.7368375772378,69.655262381467
"2009-2010","Male","20-29","High Total Cholesterol",72.2,3.36,65.9699029867072,74.1461507195374
"2005-2006","Male","12-19","High Total Cholesterol",46.6,4.28,41.3078912457218,50.4666193922982
"1999-2000","Female","50-59","Hypertension",48.3,7.34,43.6524523832602,50.6450954236323
"2009-2010","Female","40-49","Hypertension",64.3,4.67,62.3867927253712,66.1610293932725
"2003-2004","Male","6-11","Hypertension",44.5,1.73,41.8799524252536,46.0844574146904
"2013-2014","Male","70 and over","Hypertension",28.6,6.69,21.6516224314924,32.0836901745293
"2003-2004","Male","50-59","Hypertension",49.6,2.9,47.6757522422355,53.7001863956917
"2013-2014","Male","60-69","High Total Cholesterol",54.3,6.42,46.5388930607121,61.304805283621
"1999-2000","Male","60-69","Hypertension",60.4,1.06,54.2718665359775,67.9053060678765
"2011-2012","Female","40-49","Obesity",86.2,0.94,82.004218892823,90.8450607205043
"2011-2012","Male","30-39","High Total Cholesterol",26.6,1.25,24.1363675247645,29.165594175132
"2011-2012","Male","70 and over","Obesity",26,6.48,21.051001019543,29.9225227796705
"2017-2018","Female","70 and over","High Total Cholesterol",25.3,3.21,19.3123367386404,30.8536806269083
"2009-2010","Female","30-39","Obesity",40.8,6.64,36.179326024442,48.1847090983763
"2011-2012","Female","2-5","Hypertension",40.1,2.93,35.1606864913134,45.9574545846786
"2017-2018","Female","6-11","Hypertension",37,3.11,32.8002426967723,44.475331550464
"2007-2008","Female","12-19","High Total Cholesterol",52.4,2.38,45.9289146444993,57.7627132831607
"2009-2010","Male","50-59","High Total Cholesterol",35.5,3.83,32.2782563718501,39.4404737612931
"2013-2014","Female","40-49","Hypertension",35.7,2.04,28.5901092637097,39.7227793402737
"2007-2008","Female","40-49","High Total Cholesterol",29.7,6.15,22.3956580372062,32.6870073680067
"2011-2012","Male","6-11","Obesity",57.3,3.45,55.2973848215304,60.5435612538829
"2005-2006","Female","2-5","Hypertension",17.3,5.67,11.241354106646,23.2663336054655
"2003-2004","Male","12-19","Obesity",14.8,6.6,7.79657093954738,18.0038969908608
"2015-2016","Female","70 and over","High Total Cholesterol",10.1,6.69,4.25533187228721,16.0354471121915
"2011-2012","Male","6-11","Obesity",9.6,3.02,3.19760003339034,14.3952561428538
"2009-2010","Female","60-69","Hypertension",63,4.52,56.4374778096098,70.2397168892203
"2017-2018","Male","60-69","Obesity",87.5,1.2,83.5348842378007,94.8703939765692
"2015-2016","Female","70 and over","Obesity",72,1.44,68.1961997617036,74.3812073831214
"2011-2012","Male","20-29","Obesity",60,1.5,55.3012084326474,62.8893171813106
"2001-2002","Female","20-29","Hypertension",63,1.78,61.1272927706596,67.7188098613406
"2003-2004","Female","2-5","Hypertension",33.1,0.66,27.132119982061,37.5330463996157
"2013-2014","Male","6-11","High Total Cholesterol",59,2.35,51.2739187158877,64.9080964203458
"2005-2006","Female","50-59","Obesity",36.9,0.81,30.5540306088282,41.9069925975986
"2011-2012","Female","60-69","Obesity",13.8,0.88,11.2341339987004,16.6259689671686
"2005-2006","Male","70 and over","Obesity",71.2,2.09,69.4188075107988,77.8067161252722
"1999-2000","Male","30-39","High Total Cholesterol",78.5,1.69,73.6943092315923,80.6298287246609
"2013-2014","Female","30-39","Obesity",39.3,1.65,31.7699645430082,43.45544472693
"2005-2006","Male","40-49","High Total Cholesterol",59.5,4.59,52.0336175693665,61.18911731767
"2015-2016","Male","2-5","Hypertension",53.1,1.38,51.082723449124,59.398112400691
"2013-2014","Female","30-39","Hypertension",80.8,5.45,76.6841066607274,85.429538814188
"2009-2010","Female","40-49","Hypertension",37.4,7.34,35.7783886565361,39.3370040632784
"2005-2006","Male","30-39","High Total Cholesterol",37.5,5.39,29.7107840121025,42.1470503183082
"2013-2014","Female","2-5","Hypertension",29.8,7.22,22.9048780210549,36.2643395890016
"2003-2004","Female","30-39","Obesity",11.5,6.79,9.95184258313384,15.1217826091452
"2005-2006","Female","60-69","Hypertension",66.2,7.46,64.2754277467495,71.1995157745434
"2005-2006","Male","60-69","High Total Cholesterol",80.4,2.17,75.6643387928838,84.9526444787392
"2009-2010","Male","2-5","Hypertension",51.4,5.97,47.2264007226098,53.788010634575
"1999-2000","Male","50-59","High Total Cholesterol",14.4,5.39,7.41726805057842,16.3040356321493
"2017-2018","Female","12-19","High Total Cholesterol",81.6,3.55,79.52107098212,83.1643084159819
"2005-2006","Female","20-29","Obesity",37.5,5.31,31.4522613107692,44.1020426608156
"2015-2016","Male","50-59","Obesity",14.3,1.54,12.5636601481354,18.1232954500709
"2011-2012","Female","50-59","High Total Cholesterol",81.3,0.66,76.1316797259031,86.4818565431749
"2013-2014","Female","50-59","Obesity",41.8,1.45,38.1601782022743,48.1633509684587
"2007-2008","Female","40-49","Hypertension",40.7,5.34,33.8617986124475,43.9741370811127
"2001-2002","Male","70 and over","High Total Cholesterol",39.3,2.67,32.9820682083489,44.8635251054773
"2009-2010","Male","20-29","Obesity",30.3,2.94,24.310629506316,34.0011203669244
"2015-2016","Male","70 and over","Hypertension",15.3,6.8,9.74425636029337,19.1261347186053
"2013-2014","Male","12-19","Obesity",71.8,3.84,66.6557858109707,78.413469078904
"2017-2018","Female","12-19","Obesity",76.2,5.73,73.0081618373981,81.0797715207329
"2005-2006","Female","60-69","Hypertension",19.8,4.95,18.0649996849941,23.6017476104433
"2007-2008","Male","70 and over","High Total Cholesterol",42.8,6.19,38.0908583107637,47.9528685607482
"2011-2012","Male","2-5","High Total Cholesterol",25,4.23,18.0799911809154,32.88718356553
"1999-2000","Female","20-29","Hypertension",10.2,3.48,5.70551396422088,13.1683636960108
"2013-2014","Male","2-5","High Total Cholesterol",69.9,3.95,63.8020138169872,76.8984875835944
"2013-2014","Female","30-39","High Total Cholesterol",27.1,0.92,22.4109963116003,31.9913980192738
"2017-2018","Female","70 and over","Obesity",46.9,4.78,42.4462272898294,49.8851692054654
"2015-2016","Male","30-39","High Total Cholesterol",14.7,4.9,11.0693988380255,19.740515975561
"2013-2014","Female","60-69","Hypertension",44.5,1.59,42.7562238342362,46.9194116184954
"2001-2002","Male","20-29","High Total Cholesterol",77,3.41,71.3339449177729,80.0267961701611
"2007-2008","Female","6-11","Hypertension",4.2,2.48,-1.15100414848421,10.5153100893833
"2015-2016","Female","2-5","Obesity",89.5,3.16,87.0934433924267,94.7606008017901
"2011-2012","Female","12-19","High Total Cholesterol",71.6,6.01,67.8289355273824,76.3442963828798
"2011-2012","Male","50-59","High Total Cholesterol",24.8,7.4,19.0938147003297,30.3425615514396
"2017-2018","Female","60-69","Obesity",67.4,4.06,61.6981657714117,73.7707141730702
"2017-2018","Male","30-39","High Total Cholesterol",43.3,6.15,39.4135164927691,49.3543440001784
"2013-2014","Female","6-11","Obesity",6.1,7.24,2.32873158170842,8.67357209827751
"2009-2010","Male","70 and over","High Total Cholesterol",56.1,3.37,52.2041858555982,62.5495699253166
"2011-2012","Male","30-39","Hypertension",37.8,6.7,30.3216892854078,42.7902034525294
"2017-2018","Female","40-49","High Total Cholesterol",89.7,0.7,83.2610074168071,95.4848711471306
"1999-2000","Male","40-49","Hypertension",41.5,5.3,39.0625973356655,46.0829394977773
"2015-2016","Male","50-59","High Total Cholesterol",3.9,3.21,0.225870615663007,9.41989147183485
"2003-2004","Male","20-29","High Total Cholesterol",5.2,2.48,2.11157379292417,12.1354639148805
"2017-2018","Female","40-49","High Total Cholesterol",29.4,6.37,26.8455308237812,33.9029129466275
"2007-2008","Male","40-49","Hypertension",13.8,4.53,5.97594961728901,19.1966155617964
"2009-2010","Male","70 and over","High Total Cholesterol",13,5.02,10.7558751420584,18.8757851525443
"2015-2016","Male","12-19","Hypertension",42.3,3.04,40.340781571879,46.1743662753841
"2005-2006","Female","30-39","Obesity",38.7,4.75,32.3362924005371,40.8641494611977
"2017-2018","Male","30-39","Obesity",26.6,6.93,24.2263518929482,30.5586166918743
"2011-2012","Female","70 and over","High Total Cholesterol",37,6.46,35.4361925327685,43.332952320925
"2015-2016","Male","40-49","Hypertension",51.4,7.45,44.3343365690438,56.6446949491277
"2011-2012","Male","2-5","Hypertension",23.2,3.53,19.5005944777979,26.6263157026144
"2017-2018","Male","12-19","Hypertension",7.1,6.63,2.41038046861067,10.3269762360957
"2005-2006","Male","60-69","High Total Cholesterol",87.1,3.05,81.882030424336,95.0369119527982
"2013-2014","Male","6-11","High Total Cholesterol",16.9,0.97,14.6677229570691,22.2514827942708
"2015-2016","Male","12-19","High Total Cholesterol",55.3,3.3,53.2502829234116,58.590585614508
"2015-2016","Male","2-5","Obesity",84.7,3.99,77.5638591399649,86.7261187399738
"2015-2016","Female","50-59","High Total Cholesterol",89.3,5.88,84.5319443335291,90.8126150887227
"2007-2008","Female","12-19","High Total Cholesterol",54.5,2.12,49.7962192746345,58.1937752398662
"2011-2012","Male","30-39","Obesity",72.2,3.26,65.8337905700784,79.6473801072454
"2009-2010","Female","60-69","High Total Cholesterol",10.6,3.42,7.97556804425549,17.4443505584728
"1999-2000","Male","70 and over","Obesity",12,5.94,10.2787162543973,15.2855653152801
"2017-2018","Male","2-5","High Total Cholesterol",14.3,4.2,8.99374409457669,18.8757750781486
"2017-2018","Male","2-5","Hypertension",22.6,1.27,19.8813679195242,28.8020544967381
"1999-2000","Male","2-5","Hypertension",32.2,3.88,29.4488769567572,39.4668468941702
"2017-2018","Female","30-39","High Total Cholesterol",55.9,1.21,48.1535811279668,61.2304433599114
"1999-2000","Female","60-69","Hypertension",20.1,6.77,17.5453151704511,24.8934128453489
"2017-2018","Female","30-39","Obesity",27.5,4.35,24.3336938229622,34.6129377052421
"2007-2008","Male","20-29","High Total Cholesterol",10,6.99,4.6827793706907,16.9485660124337
"2011-2012","Male","20-29","Hypertension",58.5,5.94,55.9145100193564,61.1907503595576
"2007-2008","Female","30-39","High Total Cholesterol",77.6,5,71.9125394572271,83.1686791937333
"2017-2018","Male","60-69","Obesity",69.8,2.89,67.0290943519911,72.0618501705583
"2015-2016","Male","70 and over","Obesity",55.6,5.93,50.641660115472,58.9624924385222
"2005-2006","Male","6-11","High Total Cholesterol",60.7,2.47,57.0418163388269,67.7676076116506
"2009-2010","Male","60-69","High Total Cholesterol",68,2.18,62.7518188601825,74.7368440363789
"2001-2002","Female","12-19","High Total Cholesterol",41.8,0.52,36.5706496306928,44.3977742251707
"1999-2000","Male","12-19","Hypertension",21,3.2,17.6961300655967,27.8392917613965
"2007-2008","Female","30-39","High Total Cholesterol",25.6,5.02,22.5346699776361,27.5065910308855
"2015-2016","Female","60-69","Obesity",40.7,6.18,33.3262191374553,43.2723349686014
"2005-2006","Female","30-39","High Total Cholesterol",11.6,1.78,6.33044182581361,18.1810922567034
"2003-2004","Female","50-59","Obesity",5.9,7.37,1.24635441820137,11.2758787648985
"2015-2016","Female","70 and over","Obesity",58.1,5.09,51.6688030419406,62.680897154985
"1999-2000","Male","60-69","Hypertension",49.8,6.27,48.0142631695606,57.3589154235786
"2001-2002","Female","40-49","Obesity",74.5,6.96,68.8943854849786,82.4261781342793
"2005-2006","Male","40-49","Obesity",60.6,4.69,55.040425778972,65.7806029916042
"2017-2018","Male","20-29","Obesity",43.7,2.67,37.173418974434,49.3237953501986
"1999-2000","Female","70 and over","High Total Cholesterol",77.7,5.95,73.6066505455412,84.0969390593702
"2007-2008","Male","70 and over","Hypertension",70.4,5.8,67.5246007549344,74.253061455884
"2007-2008","Female","30-39","Obesity",36.3,6.59,30.6216384398984,43.7282958786935
"2015-2016","Male","2-5","High Total Cholesterol",88.9,3.58,84.4674863955937,92.1242493783124
"2013-2014","Male","70 and over","High Total Cholesterol",21.6,6.39,16.467100686999,26.8640111984219
"2011-2012","Male","60-69","High Total Cholesterol",87.7,5.01,81.346143259597,95.4007917299634
"2015-2016","Male","30-39","High Total Cholesterol",42.2,3.17,39.8033719282132,43.9860966698499
"2007-2008","Female","70 and over","Obesity",30,1.37,25.1075590428663,32.2292791943764
"2001-2002","Female","50-59","Obesity",77.8,4.28,75.4793048223481,82.061813048739
"2017-2018","Female","70 and over","Obesity",64.6,5.13,59.302585705556,70.853905750229
"2009-2010","Female","30-39","Hypertension",51.5,0.91,48.6504869455239,58.1676651128801
"2011-2012","Female","60-69","Hypertension",24,6.83,19.118168758112,30.1334143342683
"2015-2016","Female","50-59","Hypertension",48.6,1.83,41.5323073307751,51.1116247166879
"1999-2000","Male","12-19","Obesity",68.7,7.25,63.4783055963228,72.0420223237481
"2007-2008","Female","70 and over","High Total Cholesterol",46.5,1.15,40.6041433968348,50.4345479393378
"2007-2008","Male","70 and over","Obesity",44.5,1.32,39.8139735204168,52.0950253248448
"2013-2014","Female","30-39","Obesity",46.8,3.66,39.0835639312398,50.4337048349669
"2007-2008","Female","6-11","High Total Cholesterol",56,5.42,53.6173079299042,58.9776710071601
"2011-2012","Male","20-29","Obesity",45.9,3.15,41.7018142241053,47.463171754824
"2005-2006","Female","20-29","Hypertension",20,2.64,14.801064483705,24.6995102140354
"2001-2002","Male","60-69","High Total Cholesterol",47.6,5.43,42.0102875859244,54.2365164852468
"1999-2000","Male","60-69","Hypertension",80.1,5.4,76.4912523615872,85.830554113863
"1999-2000","Female","2-5","Hypertension",9.6,5.68,2.61968387153465,12.1494560535299
"2001-2002","Female","30-39","Hypertension",43.6,3.5,36.090962172742,51.5344397652894
"1999-2000","Male","6-11","Obesity",78.3,1.94,70.9515592709184,80.3768494969234
"2001-2002","Male","70 and over","Hypertension",31.5,3.31,28.0617126621073,37.7500239100773
"2013-2014","Female","2-5","Obesity",54.8,2.48,49.777315163007,57.8361734351609
"1999-2000","Male","2-5","Obesity",43.8,5.77,38.6569694919279,51.5290992881171
"2003-2004","Female","30-39","Obesity",69.1,4.38,62.2267496978398,72.5328515137313
"2001-2002","Female","50-59","Hypertension",49.1,5.91,47.4424861620879,52.1153750731843
"2001-2002","Male","40-49","Hypertension",87.3,4.08,82.0742932678666,92.7806871277979
"2007-2008","Female","2-5","Obesity",85.6,4.77,82.4425857105758,87.3629518414615
"2015-2016","Male","40-49","Obesity",53,5.12,47.009284675587,54.883238533861
"2017-2018","Male","20-29","Obesity",14.6,5.25,11.7759038113523,21.3851130679483
"2009-2010","Female","50-59","High Total Cholesterol",25,1.38,22.3398015135899,27.3554074547719
"2017-2018","Female","6-11","Obesity",89.4,5.03,82.1086944850162,91.2361328189494
"2017-2018","Female","50-59","High Total Cholesterol",38.5,2.25,33.9986404895317,41.902129115304
"2009-2010","Male","6-11","Obesity",22.1,4.77,17.7402992992662,24.1834653229686
"2003-2004","Female","70 and over","High Total Cholesterol",33.3,5.47,27.9819544500904,38.1509837610181
"2005-2006","Male","2-5","Obesity",52.5,4.25,47.3754225482699,58.7406068850541
"2003-2004","Male","60-69","Obesity",5.6,5.73,0.0498527485411611,12.6473850632552
"2011-2012","Female","6-11","Obesity",4.7,6.24,-0.817160260002129,9.30543919587508
"2003-2004","Male","60-69","Obesity",32.2,3.57,29.7443009660812,35.6423350284342
"2001-2002","Male","60-69","Hypertension",25.3,5.83,21.8651400572388,32.0098008006578
"2011-2012","Female","50-59","Obesity",5,7.02,-1.47137324640062,10.5436230738414
"2003-2004","Male","20-29","High Total Cholesterol",69.8,6,64.2818031084724,77.3066243021283
"2015-2016","Male","6-11","High Total Cholesterol",70.9,7.19,65.1509395369561,78.0647958613467
"2011-2012","Female","60-69","High Total Cholesterol",63.3,6.56,55.7286979292519,70.1255256402772
"2015-2016","Male","70 and over","High Total Cholesterol",7.4,2.12,1.94196287202649,8.9186020762194
"2005-2006","Male","40-49","Obesity",60.4,5.46,54.1460284638219,66.1177959968103
"2001-2002","Female","30-39","Hypertension",69.4,6.12,66.824246173352,73.5634678477421
"2009-2010","Male","60-69","Obesity",30.9,3.57,24.4436844580108,37.0119592644973
"2017-2018","Male","20-29","Obesity",38.1,6.4,31.5126319129718,44.7397822720464
"2015-2016","Female","70 and over","Obesity",5.8,1.47,2.98704412132502,10.9242448716657
"2011-2012","Female","12-19","Hypertension",45.8,4.14,41.6449829763267,50.0720536852721
"2007-2008","Female","6-11","High Total Cholesterol",15.3,2.69,10.0881762037287,23.0154183774255
"1999-2000","Female","12-19","Obesity",72.5,4.36,67.832531697466,79.0260595929576
"2003-2004","Male","2-5","High Total Cholesterol",38.6,1.85,33.1000864370959,43.4857900958974
"2001-2002","Female","60-69","Hypertension",84.5,7.27,81.2410117269028,88.7643922441639
"2007-2008","Male","12-19","High Total Cholesterol",66.8,3.18,63.6346924651414,73.4363532318501
"1999-2000","Male","40-49","Obesity",40.8,6.19,34.2075085890945,47.5256334380945
"2003-2004","Female","60-69","Hypertension",72.5,2.6,67.4462121083634,75.1282632377697
"2015-2016","Male","2-5","High Total Cholesterol",34.9,4.18,32.3178772735177,40.067543932097
"2001-2002","Male","20-29","Hypertension",36.1,3.45,28.2574151158566,40.9517339302925
"2009-2010","Female","12-19","High Total Cholesterol",61.6,5.51,56.9249831846915,65.4426716511603
"2003-2004","Female","6-11","Hypertension",41.3,1.57,38.728176504327,42.9487104871776
"2003-2004","Female","12-19","Hypertension",65,3.09,62.1120664908085,69.9962870690506
"2015-2016","Female","50-59","Obesity",40.9,2.37,34.785972542339,46.0085925663356
"2001-2002","Male","30-39","Hypertension",60.9,6.19,58.742031504726,64.5294406118104
"1999-2000","Male","12-19","Obesity",48.5,4.97,46.0805657001911,50.4442032411462
"2009-2010","Male","40-49","Hypertension",81.6,5.87,77.4382055086549,89.0698285646737
"2017-2018","Male","20-29","Hypertension",84.6,4.59,78.9557321877452,89.0064513600897
"2013-2014","Female","50-59","High Total Cholesterol",86.6,7.48,84.9440525953192,93.9000025191577
"2017-2018","Male","30-39","Hypertension",23.3,2.9,20.8331479602028,27.4332788801519
"2017-2018","Male","20-29","Obesity",40.5,3.17,37.3262319341302,46.4442472847877
"2005-2006","Male","70 and over","Hypertension",39.4,6.41,33.2036045583431,46.3241169063607
"2009-2010","Female","6-11","High Total Cholesterol",16.9,3.15,12.5958551375428,20.6931111573707
"2005-2006","Female","6-11","Obesity",49.2,0.85,47.0349170741858,52.3923494857037
"2005-2006","Male","6-11","Hypertension",84.2,0.71,80.2057919761166,87.5704710684251
"2015-2016","Female","30-39","Hypertension",10.9,5.3,6.09690256519243,14.0463723503985
"2013-2014","Male","30-39","Obesity",60.1,6.45,55.2227250960656,62.8355511584319
"2011-2012","Male","30-39","Obesity",18.5,7.09,11.0844078346854,20.1576055120677
"2017-2018","Female","20-29","Hypertension",24.6,4,21.9786521474831,27.8441953454399
"1999-2000","Female","50-59","Obesity",53.4,2.89,49.2221792529803,59.6612288391683
"2001-2002","Male","12-19","Obesity",11.6,1.47,7.39479519673623,15.7105473187054
"2013-2014","Male","60-69","High Total Cholesterol",60.9,5.06,56.4253825346008,68.0020291466266
"2003-2004","Male","6-11","Hypertension",57,1.96,55.2657800662564,62.7044813589891
"2017-2018","Female","30-39","Obesity",78.9,2.52,71.4208520971937,83.0687093605287
"2011-2012","Female","20-29","Obesity",20.3,3.74,13.9065445464337,28.1790758880787
"1999-2000","Male","40-49","Hypertension",30.9,3.94,23.0355919420021,38.4488682751311
"2001-2002","Female","50-59","High Total Cholesterol",38.6,2.69,31.3455995352939,45.1432994691655
"2003-2004","Female","30-39","High Total Cholesterol",83.7,6.05,75.7423288792372,87.4164509372087
"2003-2004","Female","6-11","High Total Cholesterol",6.8,2.33,2.86045042164624,9.97734099854715
"2009-2010","Female","70 and over","High Total Cholesterol",19.8,1.76,16.0449625321897,22.3276112244464
"2017-2018","Male","2-5","Obesity",65.6,1.13,59.0421732092742,72.7612552276347
"2007-2008","Female","50-59","High Total Cholesterol",7.8,2.53,5.35307070573326,13.1390433370369
"2005-2006","Male","60-69","Hypertension",88.4,2.03,83.6299371015979,90.4558162856614
